device = mps
train samples = 156965
dev samples = 73152
trainable params = 4,484,929
loss type = pairwise
lr scheduler = ReduceLROnPlateau(mode=min, factor=0.5, patience=1, min_lr=1e-06)
wandb run name = pairwise-balanced-0404-2354
wandb url = https://wandb.ai/15661383504-jd/mind/runs/4tjzop9m
[epoch 1] step 200 train_loss=0.6660
[epoch 1] step 400 train_loss=0.6523
[epoch 1] step 600 train_loss=0.6434
[epoch 1] step 800 train_loss=0.6381
[epoch 1] step 1000 train_loss=0.6331
[epoch 1] step 1200 train_loss=0.6302
[epoch 1] step 1400 train_loss=0.6267
[epoch 1] step 1600 train_loss=0.6228
[epoch 1] step 1800 train_loss=0.6207
[epoch 1] step 2000 train_loss=0.6184
[epoch 1] step 2200 train_loss=0.6161
[epoch 1] step 2400 train_loss=0.6142
[epoch 1] step 2600 train_loss=0.6115
[epoch 1] step 2800 train_loss=0.6102
[epoch 1] step 3000 train_loss=0.6100
[epoch 1] step 3200 train_loss=0.6093
[epoch 1] step 3400 train_loss=0.6076
[epoch 1] step 3600 train_loss=0.6056
[epoch 1] step 3800 train_loss=0.6039
[epoch 1] step 4000 train_loss=0.6034
[epoch 1] step 4200 train_loss=0.6026
[epoch 1] step 4400 train_loss=0.6015
[epoch 1] step 4600 train_loss=0.6002
[epoch 1] step 4800 train_loss=0.5996
[epoch 1] step 5000 train_loss=0.5987
[epoch 1] step 5200 train_loss=0.5977
[epoch 1] step 5400 train_loss=0.5964
[epoch 1] step 5600 train_loss=0.5951
[epoch 1] step 5800 train_loss=0.5938
[epoch 1] step 6000 train_loss=0.5934
[epoch 1] step 6200 train_loss=0.5927
[epoch 1] step 6400 train_loss=0.5919
[epoch 1] step 6600 train_loss=0.5914
[epoch 1] step 6800 train_loss=0.5907
[epoch 1] step 7000 train_loss=0.5900
[epoch 1] step 7200 train_loss=0.5894
[epoch 1] step 7400 train_loss=0.5886
[epoch 1] step 7600 train_loss=0.5879
[epoch 1] step 7800 train_loss=0.5874
[epoch 1] step 8000 train_loss=0.5870
[epoch 1] step 8200 train_loss=0.5864
[epoch 1] step 8400 train_loss=0.5860
[epoch 1] step 8600 train_loss=0.5855
[epoch 1] step 8800 train_loss=0.5849
[epoch 1] step 9000 train_loss=0.5847
[epoch 1] step 9200 train_loss=0.5841
[epoch 1] step 9400 train_loss=0.5835
[epoch 1] step 9600 train_loss=0.5833
[epoch 1] step 9800 train_loss=0.5830
[epoch 1] step 10000 train_loss=0.5825
[epoch 1] step 10200 train_loss=0.5823
[epoch 1] step 10400 train_loss=0.5818
[epoch 1] step 10600 train_loss=0.5812
[epoch 1] step 10800 train_loss=0.5811
[epoch 1] step 11000 train_loss=0.5805
[epoch 1] step 11200 train_loss=0.5803
[epoch 1] step 11400 train_loss=0.5802
[epoch 1] step 11600 train_loss=0.5800
[epoch 1] step 11800 train_loss=0.5794
[epoch 1] step 12000 train_loss=0.5791
[epoch 1] step 12200 train_loss=0.5788
[epoch 1] step 12400 train_loss=0.5785
[epoch 1] step 12600 train_loss=0.5783
[epoch 1] step 12800 train_loss=0.5780
[epoch 1] step 13000 train_loss=0.5776
[epoch 1] step 13200 train_loss=0.5774
[epoch 1] step 13400 train_loss=0.5771
[epoch 1] step 13600 train_loss=0.5772
[epoch 1] step 13800 train_loss=0.5768
[epoch 1] step 14000 train_loss=0.5766
[epoch 1] step 14200 train_loss=0.5763
[epoch 1] step 14400 train_loss=0.5762
[epoch 1] step 14600 train_loss=0.5760
[epoch 1] step 14800 train_loss=0.5758
[epoch 1] step 15000 train_loss=0.5755
[epoch 1] step 15200 train_loss=0.5752
[epoch 1] step 15400 train_loss=0.5748
[epoch 1] step 15600 train_loss=0.5742
[epoch 1] step 15800 train_loss=0.5741
[epoch 1] step 16000 train_loss=0.5739
[epoch 1] step 16200 train_loss=0.5737
[epoch 1] step 16400 train_loss=0.5736
[epoch 1] step 16600 train_loss=0.5733
[epoch 1] step 16800 train_loss=0.5732
[epoch 1] step 17000 train_loss=0.5727
[epoch 1] step 17200 train_loss=0.5725
[epoch 1] step 17400 train_loss=0.5722
[epoch 1] step 17600 train_loss=0.5720
[epoch 1] step 17800 train_loss=0.5717
[epoch 1] step 18000 train_loss=0.5714
[epoch 1] step 18200 train_loss=0.5711
[epoch 1] step 18400 train_loss=0.5710
[epoch 1] step 18600 train_loss=0.5710
[epoch 1] step 18800 train_loss=0.5709
[epoch 1] step 19000 train_loss=0.5708
[epoch 1] step 19200 train_loss=0.5704
[epoch 1] step 19400 train_loss=0.5702
[epoch 1] step 19600 train_loss=0.5699
[epoch 1] step 19621 train_loss=0.5699
[epoch 1] train_loss=0.5699 dev_loss=0.6079 AUC=0.6421 MRR=0.3547 nDCG@5=0.3364 nDCG@10=0.3986 BrierScore=0.2160 Recall@10=0.6540 selection_score=0.1993
[epoch 1] lr=0.0005
saved best checkpoint to outputs/baseline_best.pt
[epoch 2] step 200 train_loss=0.5335
[epoch 2] step 400 train_loss=0.5331
[epoch 2] step 600 train_loss=0.5349
[epoch 2] step 800 train_loss=0.5353
[epoch 2] step 1000 train_loss=0.5394
[epoch 2] step 1200 train_loss=0.5382
[epoch 2] step 1400 train_loss=0.5402
[epoch 2] step 1600 train_loss=0.5411
[epoch 2] step 1800 train_loss=0.5393
[epoch 2] step 2000 train_loss=0.5401
[epoch 2] step 2200 train_loss=0.5396
[epoch 2] step 2400 train_loss=0.5399
[epoch 2] step 2600 train_loss=0.5386
[epoch 2] step 2800 train_loss=0.5384
[epoch 2] step 3000 train_loss=0.5377
[epoch 2] step 3200 train_loss=0.5376
[epoch 2] step 3400 train_loss=0.5379
[epoch 2] step 3600 train_loss=0.5377
[epoch 2] step 3800 train_loss=0.5371
[epoch 2] step 4000 train_loss=0.5371
[epoch 2] step 4200 train_loss=0.5379
[epoch 2] step 4400 train_loss=0.5378
[epoch 2] step 4600 train_loss=0.5380
[epoch 2] step 4800 train_loss=0.5374
[epoch 2] step 5000 train_loss=0.5371
[epoch 2] step 5200 train_loss=0.5367
[epoch 2] step 5400 train_loss=0.5371
[epoch 2] step 5600 train_loss=0.5374
[epoch 2] step 5800 train_loss=0.5374
[epoch 2] step 6000 train_loss=0.5378
[epoch 2] step 6200 train_loss=0.5378
[epoch 2] step 6400 train_loss=0.5381
[epoch 2] step 6600 train_loss=0.5381
[epoch 2] step 6800 train_loss=0.5380
[epoch 2] step 7000 train_loss=0.5382
[epoch 2] step 7200 train_loss=0.5384
[epoch 2] step 7400 train_loss=0.5386
[epoch 2] step 7600 train_loss=0.5386
[epoch 2] step 7800 train_loss=0.5387
[epoch 2] step 8000 train_loss=0.5384
[epoch 2] step 8200 train_loss=0.5388
[epoch 2] step 8400 train_loss=0.5389
[epoch 2] step 8600 train_loss=0.5390
[epoch 2] step 8800 train_loss=0.5390
[epoch 2] step 9000 train_loss=0.5387
[epoch 2] step 9200 train_loss=0.5386
[epoch 2] step 9400 train_loss=0.5387
[epoch 2] step 9600 train_loss=0.5386
[epoch 2] step 9800 train_loss=0.5389
[epoch 2] step 10000 train_loss=0.5387
[epoch 2] step 10200 train_loss=0.5387
[epoch 2] step 10400 train_loss=0.5385
[epoch 2] step 10600 train_loss=0.5385
[epoch 2] step 10800 train_loss=0.5386
[epoch 2] step 11000 train_loss=0.5385
[epoch 2] step 11200 train_loss=0.5383
[epoch 2] step 11400 train_loss=0.5384
[epoch 2] step 11600 train_loss=0.5382
[epoch 2] step 11800 train_loss=0.5380
[epoch 2] step 12000 train_loss=0.5382
[epoch 2] step 12200 train_loss=0.5379
[epoch 2] step 12400 train_loss=0.5377
[epoch 2] step 12600 train_loss=0.5377
[epoch 2] step 12800 train_loss=0.5376
[epoch 2] step 13000 train_loss=0.5376
[epoch 2] step 13200 train_loss=0.5376
[epoch 2] step 13400 train_loss=0.5374
[epoch 2] step 13600 train_loss=0.5374
[epoch 2] step 13800 train_loss=0.5371
[epoch 2] step 14000 train_loss=0.5369
[epoch 2] step 14200 train_loss=0.5368
[epoch 2] step 14400 train_loss=0.5370
[epoch 2] step 14600 train_loss=0.5370
[epoch 2] step 14800 train_loss=0.5369
[epoch 2] step 15000 train_loss=0.5369
[epoch 2] step 15200 train_loss=0.5369
[epoch 2] step 15400 train_loss=0.5369
[epoch 2] step 15600 train_loss=0.5370
[epoch 2] step 15800 train_loss=0.5370
[epoch 2] step 16000 train_loss=0.5369
[epoch 2] step 16200 train_loss=0.5370
[epoch 2] step 16400 train_loss=0.5368
[epoch 2] step 16600 train_loss=0.5367
[epoch 2] step 16800 train_loss=0.5365
[epoch 2] step 17000 train_loss=0.5365
[epoch 2] step 17200 train_loss=0.5363
[epoch 2] step 17400 train_loss=0.5363
[epoch 2] step 17600 train_loss=0.5364
[epoch 2] step 17800 train_loss=0.5364
[epoch 2] step 18000 train_loss=0.5364
[epoch 2] step 18200 train_loss=0.5365
[epoch 2] step 18400 train_loss=0.5364
[epoch 2] step 18600 train_loss=0.5364
[epoch 2] step 18800 train_loss=0.5363
[epoch 2] step 19000 train_loss=0.5365
[epoch 2] step 19200 train_loss=0.5366
[epoch 2] step 19400 train_loss=0.5366
[epoch 2] step 19600 train_loss=0.5367
[epoch 2] step 19621 train_loss=0.5367
[epoch 2] train_loss=0.5367 dev_loss=0.6072 AUC=0.6414 MRR=0.3483 nDCG@5=0.3291 nDCG@10=0.3935 BrierScore=0.1794 Recall@10=0.6536 selection_score=0.1967
[epoch 2] lr=0.0005
[epoch 3] step 200 train_loss=0.5189
[epoch 3] step 400 train_loss=0.5269
[epoch 3] step 600 train_loss=0.5210
[epoch 3] step 800 train_loss=0.5168
[epoch 3] step 1000 train_loss=0.5159
[epoch 3] step 1200 train_loss=0.5145
[epoch 3] step 1400 train_loss=0.5171
[epoch 3] step 1600 train_loss=0.5188
[epoch 3] step 1800 train_loss=0.5187
[epoch 3] step 2000 train_loss=0.5190
[epoch 3] step 2200 train_loss=0.5183
[epoch 3] step 2400 train_loss=0.5197
[epoch 3] step 2600 train_loss=0.5208
[epoch 3] step 2800 train_loss=0.5192
[epoch 3] step 3000 train_loss=0.5194
[epoch 3] step 3200 train_loss=0.5192
[epoch 3] step 3400 train_loss=0.5192
[epoch 3] step 3600 train_loss=0.5196
[epoch 3] step 3800 train_loss=0.5205
[epoch 3] step 4000 train_loss=0.5204
[epoch 3] step 4200 train_loss=0.5208
[epoch 3] step 4400 train_loss=0.5215
[epoch 3] step 4600 train_loss=0.5211
[epoch 3] step 4800 train_loss=0.5221
